,kappa,# Edges,# Nodes,Min Degree,Max Degree,Diameter,S_0_1,S_1_1,S_2_1,S_3_1,S_4_1,S_5_1,S_6_1,S_7_1,S_8_1,S_9_1,S_10_1,S_11_1,S_12_1,S_13_1,S_0_2,S_1_2,S_2_2,S_3_2,S_4_2,S_5_2,S_6_2,S_7_2,S_8_2,S_9_2,S_10_2,S_11_2,S_12_2,S_13_2,S_0_3,S_1_3,S_2_3,S_3_3,S_4_3,S_5_3,S_6_3,S_7_3,S_8_3,S_9_3,S_10_3,S_11_3,S_12_3,S_13_3,label
692,5,56,14,6,10,2,2,3,4,2,0,4,1,3,0,1,1,3,3,1,3.0,4.0,0.0,3.0,1.0,0.0,2.0,4.0,1.0,2.0,2.0,4.0,4.0,2.0,4.0,0.0,1.0,4.0,2.0,0.0,3.0,0.0,2.0,3.0,3.0,0.0,0.0,3.0,0
693,5,28,14,2,6,3,1,4,4,1,1,4,1,3,2,4,3,3,1,4,2.0,0.0,0.0,2.0,2.0,0.0,2.0,4.0,3.0,0.0,4.0,4.0,2.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,1
694,5,42,14,4,10,2,1,3,0,0,3,0,3,4,1,2,3,4,4,3,2.0,4.0,1.0,1.0,4.0,1.0,4.0,0.0,2.0,3.0,4.0,0.0,0.0,4.0,3.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,0
695,5,28,14,2,7,3,2,2,3,4,4,2,1,0,2,3,3,0,0,1,3.0,3.0,4.0,0.0,0.0,3.0,2.0,0.0,3.0,4.0,4.0,1.0,1.0,2.0,4.0,4.0,0.0,1.0,0.0,4.0,3.0,0.0,4.0,0.0,0.0,2.0,2.0,3.0,0
696,5,56,14,6,11,2,2,2,1,0,4,1,0,0,0,4,0,3,1,1,3.0,3.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,2.0,4.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,3.0,0
697,5,28,14,2,5,4,2,2,1,4,2,1,3,2,2,3,2,3,0,1,3.0,3.0,2.0,0.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,1.0,2.0,4.0,4.0,3.0,1.0,4.0,3.0,0.0,4.0,4.0,0.0,4.0,0.0,2.0,3.0,1
698,5,42,14,4,10,3,3,3,1,1,1,2,3,1,0,2,4,1,3,2,4.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,1.0,3.0,0.0,2.0,4.0,3.0,0.0,0.0,3.0,3.0,3.0,4.0,0.0,3.0,2.0,4.0,1.0,3.0,0.0,4.0,0
699,5,42,14,4,8,2,2,3,3,1,2,0,2,0,4,3,4,1,2,3,3.0,4.0,4.0,2.0,3.0,0.0,3.0,1.0,0.0,4.0,0.0,2.0,3.0,4.0,4.0,0.0,0.0,3.0,4.0,1.0,4.0,2.0,0.0,0.0,1.0,3.0,4.0,0.0,0
700,5,56,14,6,10,2,0,0,2,4,4,2,2,0,4,4,3,3,1,4,0.0,0.0,3.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,4.0,4.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,0
701,5,56,14,6,10,2,2,3,1,2,0,1,4,4,1,1,2,4,2,2,3.0,4.0,2.0,3.0,1.0,2.0,0.0,0.0,2.0,2.0,3.0,0.0,3.0,3.0,4.0,0.0,3.0,4.0,2.0,3.0,1.0,1.0,3.0,3.0,4.0,1.0,4.0,4.0,1
702,5,56,14,5,10,2,1,3,1,1,2,1,2,1,3,3,2,4,1,1,2.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,0.0,2.0,2.0,3.0,0.0,3.0,3.0,4.0,3.0,4.0,3.0,0.0,0.0,4.0,0.0,3.0,3.0,1
703,5,28,14,3,6,3,0,1,3,0,2,2,4,0,3,2,1,0,2,3,0.0,2.0,4.0,1.0,3.0,3.0,0.0,0.0,4.0,3.0,2.0,0.0,3.0,4.0,0.0,3.0,0.0,2.0,4.0,4.0,1.0,1.0,0.0,4.0,3.0,0.0,4.0,0.0,0
704,5,28,14,2,6,3,3,3,1,0,0,2,0,1,3,0,1,2,3,1,4.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0,4.0,0.0,2.0,3.0,4.0,2.0,0.0,0.0,3.0,2.0,2.0,4.0,2.0,3.0,0.0,1.0,3.0,4.0,0.0,3.0,0
705,5,42,14,4,10,2,2,2,3,2,3,3,3,3,0,3,0,2,4,1,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,3.0,0.0,2.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1
706,5,28,14,2,6,4,4,1,3,3,0,4,0,4,4,1,4,4,0,0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0
707,5,28,14,2,6,3,3,1,4,4,2,4,4,2,3,0,0,3,4,1,4.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,1.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,3.0,0
708,5,56,14,6,11,2,0,0,3,0,3,2,0,2,0,2,4,1,4,1,1.0,1.0,4.0,1.0,4.0,3.0,1.0,3.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,2.0,4.0,2.0,4.0,1.0,3.0,1.0,3.0,0
709,5,28,14,3,5,3,2,0,1,0,0,2,4,4,1,4,4,0,3,2,3.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,3.0,4.0,2.0,3.0,1.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,4.0,0
710,5,56,14,6,11,2,2,0,1,1,0,1,4,3,2,0,3,0,0,2,3.0,1.0,2.0,2.0,1.0,2.0,0.0,4.0,3.0,1.0,4.0,0.0,1.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,1.0,0.0,4.0,2.0,0.0,1.0,2.0,4.0,0
711,5,28,14,2,6,3,1,0,0,3,0,2,1,0,2,3,1,0,4,4,2.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,3.0,4.0,2.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,2.0,4.0,3.0,2.0,4.0,0.0,3.0,2.0,1.0,1.0,1
712,5,28,14,2,6,3,2,2,4,2,1,1,4,2,1,4,3,4,3,3,3.0,3.0,0.0,3.0,2.0,2.0,0.0,3.0,2.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,3.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1
713,5,28,14,2,7,4,0,4,2,0,0,1,0,2,4,0,2,2,1,1,0.0,0.0,3.0,1.0,1.0,2.0,0.0,3.0,0.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0,4.0,2.0,2.0,3.0,1.0,4.0,0.0,2.0,4.0,4.0,3.0,3.0,1
714,5,28,14,2,6,3,3,2,2,0,2,2,3,1,0,4,2,4,1,3,4.0,3.0,3.0,1.0,3.0,3.0,4.0,2.0,0.0,0.0,3.0,0.0,2.0,4.0,0.0,4.0,4.0,2.0,4.0,4.0,0.0,3.0,0.0,0.0,4.0,0.0,3.0,0.0,1
715,5,42,14,3,9,2,0,2,1,2,0,4,4,4,4,2,2,0,0,2,0.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,3.0,1.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,4.0,1
716,5,28,14,2,8,3,2,4,2,1,0,0,4,1,4,3,4,3,3,3,3.0,0.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0
717,5,42,14,4,9,3,3,2,2,1,1,4,3,3,3,0,0,2,2,4,4.0,3.0,3.0,2.0,2.0,0.0,4.0,4.0,4.0,1.0,1.0,3.0,3.0,0.0,0.0,4.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,1.0,0
718,5,56,14,6,12,2,3,2,2,0,0,1,2,0,4,3,4,2,1,3,4.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,0.0,4.0,0.0,3.0,2.0,4.0,0.0,4.0,4.0,2.0,2.0,3.0,4.0,2.0,1.0,0.0,1.0,4.0,3.0,0.0,0
719,5,28,14,2,5,3,4,3,3,1,3,0,3,4,4,0,2,3,4,4,0.0,4.0,4.0,2.0,4.0,1.0,4.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,1
720,5,28,14,2,6,3,0,2,4,0,0,3,4,1,0,0,1,2,2,3,0.0,3.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,1.0,2.0,3.0,3.0,4.0,1.0,4.0,0.0,1.0,2.0,0.0,1.0,3.0,1.0,2.0,3.0,4.0,4.0,0.0,1
721,5,42,14,4,10,3,3,3,3,0,4,1,1,3,2,0,4,1,0,3,4.0,4.0,4.0,1.0,0.0,2.0,2.0,4.0,3.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,4.0,2.0,1.0,3.0,1.0,0.0,0
722,5,56,14,6,11,2,1,3,1,3,1,1,1,2,3,0,4,0,3,3,2.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,1.0,0.0,1.0,4.0,4.0,3.0,0.0,3.0,0.0,3.0,3.0,3.0,4.0,0.0,2.0,1.0,2.0,0.0,0.0,0
723,5,28,14,2,7,3,2,3,0,2,4,1,4,4,1,2,0,2,1,1,3.0,4.0,1.0,3.0,0.0,2.0,0.0,0.0,2.0,3.0,1.0,3.0,2.0,2.0,4.0,0.0,2.0,4.0,1.0,3.0,0.0,0.0,3.0,4.0,2.0,4.0,3.0,3.0,1
724,5,56,14,6,11,2,4,4,0,3,1,2,2,0,3,3,2,1,3,1,0.0,0.0,1.0,4.0,2.0,3.0,3.0,1.0,4.0,4.0,3.0,2.0,4.0,2.0,1.0,1.0,2.0,0.0,3.0,4.0,4.0,2.0,0.0,0.0,4.0,3.0,0.0,3.0,0
725,5,56,14,7,11,2,2,3,1,1,4,2,2,4,0,2,4,3,2,1,3.0,4.0,2.0,2.0,0.0,3.0,3.0,0.0,1.0,3.0,0.0,4.0,3.0,2.0,4.0,0.0,3.0,3.0,1.0,4.0,4.0,0.0,2.0,4.0,1.0,0.0,4.0,3.0,1
726,5,42,14,4,10,3,2,0,2,0,0,0,4,3,3,1,4,0,1,1,3.0,1.0,3.0,0.0,1.0,1.0,0.0,4.0,4.0,2.0,0.0,1.0,2.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,3.0,0
727,5,42,14,4,9,3,1,2,2,0,4,4,3,4,2,2,0,1,1,3,2.0,3.0,3.0,1.0,0.0,0.0,4.0,0.0,3.0,3.0,1.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,1.0,1.0,0.0,0.0,4.0,4.0,2.0,3.0,3.0,0.0,0
728,5,28,14,2,6,3,2,3,2,1,1,4,4,1,3,3,2,1,3,2,3.0,4.0,3.0,2.0,2.0,0.0,0.0,2.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,0.0,4.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,3.0,0.0,4.0,1
729,5,28,14,2,6,4,3,1,0,3,3,3,2,0,4,4,1,3,3,2,4.0,2.0,0.0,4.0,4.0,4.0,3.0,1.0,0.0,0.0,2.0,4.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,4.0,1
730,5,42,14,3,8,3,2,1,1,4,2,4,0,0,3,1,3,3,0,3,3.0,2.0,2.0,0.0,3.0,0.0,1.0,1.0,4.0,2.0,4.0,4.0,1.0,4.0,4.0,3.0,3.0,1.0,4.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0
731,5,56,14,6,12,2,2,0,2,0,1,4,0,1,1,0,1,1,1,0,3.0,1.0,3.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,4.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,1
732,5,28,14,2,5,3,1,4,3,4,1,1,2,2,2,4,1,1,1,2,2.0,0.0,4.0,0.0,2.0,2.0,3.0,3.0,3.0,0.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,4.0,0.0,3.0,3.0,3.0,4.0,1
733,5,56,14,5,10,2,3,1,2,3,3,3,0,2,2,3,1,4,0,3,4.0,2.0,3.0,4.0,4.0,4.0,1.0,3.0,3.0,4.0,2.0,0.0,1.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,3.0,1.0,2.0,0.0,0
734,5,56,14,5,11,2,1,2,4,4,0,1,0,1,1,2,4,3,3,2,2.0,3.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,3.0,0.0,4.0,4.0,3.0,3.0,4.0,1.0,0.0,2.0,3.0,2.0,3.0,3.0,4.0,1.0,0.0,0.0,4.0,0
735,5,28,14,2,7,3,4,1,1,0,4,1,4,3,4,2,3,0,0,4,0.0,2.0,2.0,1.0,0.0,2.0,0.0,4.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0,3.0,3.0,2.0,0.0,3.0,0.0,0.0,1.0,4.0,0.0,2.0,2.0,0.0,0
736,5,28,14,2,7,4,3,0,1,3,3,1,1,2,4,1,4,2,0,0,4.0,1.0,2.0,4.0,4.0,2.0,2.0,3.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,3.0,3.0,4.0,0.0,3.0,0.0,4.0,1.0,2.0,0
737,5,56,14,5,10,2,0,2,4,4,0,2,4,3,3,2,4,4,1,1,1.0,3.0,0.0,0.0,1.0,3.0,0.0,4.0,4.0,3.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,4.0,1.0,1.0,3.0,3.0,0
738,5,42,14,5,9,2,3,2,3,3,3,3,0,3,0,2,3,2,4,1,4.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,3.0,4.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,4.0,1.0,3.0,0
739,5,28,14,2,6,3,0,0,0,3,2,3,3,0,0,2,2,0,3,0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1
740,5,56,14,5,13,2,3,4,0,1,4,0,1,1,4,3,1,4,2,4,4.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,4.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,0.0,3.0,1.0,4.0,1.0,0
741,5,28,14,2,8,3,2,4,1,2,3,2,4,3,1,4,1,2,4,0,3.0,0.0,2.0,3.0,4.0,3.0,0.0,4.0,2.0,0.0,2.0,3.0,0.0,1.0,4.0,0.0,3.0,4.0,0.0,4.0,0.0,0.0,3.0,0.0,3.0,4.0,1.0,2.0,1
742,5,56,14,6,10,2,2,1,3,1,3,4,4,4,0,2,0,1,0,1,3.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,4.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,2.0,4.0,2.0,3.0,2.0,3.0,0
743,5,56,14,5,11,2,2,4,0,1,3,2,3,2,1,3,2,4,4,1,3.0,0.0,1.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,0.0,0.0,2.0,4.0,1.0,2.0,3.0,0.0,4.0,0.0,4.0,3.0,0.0,4.0,0.0,0.0,3.0,0
744,5,42,14,3,9,2,0,4,0,4,0,4,4,3,2,1,2,1,1,4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,2.0,3.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,4.0,3.0,4.0,3.0,3.0,1.0,0
745,5,42,14,3,9,3,3,0,2,2,1,4,4,3,0,3,3,2,0,2,4.0,0.0,3.0,3.0,2.0,0.0,0.0,4.0,0.0,4.0,4.0,3.0,0.0,3.0,0.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1
746,5,56,14,5,10,2,0,4,1,4,3,3,2,4,1,4,0,3,3,4,1.0,0.0,2.0,0.0,4.0,4.0,3.0,0.0,2.0,0.0,1.0,4.0,4.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,4.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0
747,5,42,14,4,8,3,2,4,2,4,0,3,0,1,2,4,1,4,3,2,3.0,0.0,3.0,0.0,1.0,4.0,0.0,2.0,3.0,0.0,2.0,0.0,4.0,3.0,4.0,0.0,4.0,1.0,2.0,0.0,0.0,3.0,4.0,0.0,3.0,1.0,0.0,4.0,0
748,5,28,14,2,7,3,4,1,1,3,1,1,0,4,2,0,4,1,1,0,0.0,2.0,2.0,4.0,2.0,2.0,1.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,2.0,1.0,4.0,2.0,1.0,3.0,3.0,1.0,1
749,5,56,14,6,10,2,2,0,0,4,1,1,4,3,1,4,3,4,1,2,3.0,1.0,1.0,0.0,2.0,2.0,0.0,4.0,2.0,0.0,4.0,0.0,2.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,4.0,0
750,5,42,14,3,8,2,4,0,1,4,4,2,2,1,1,1,4,0,0,0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,1
751,5,28,14,2,6,4,0,2,3,3,4,4,2,2,1,3,1,0,2,2,0.0,3.0,4.0,4.0,0.0,0.0,3.0,3.0,2.0,4.0,2.0,0.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,3.0,0.0,4.0,4.0,1
752,5,56,14,6,11,2,0,0,4,1,1,0,2,0,3,1,4,4,4,0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,0.0,3.0,1.0,1.0,1.0,2.0,0
753,5,28,14,2,6,4,2,4,1,2,4,2,1,1,4,4,2,0,3,3,3.0,0.0,2.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,3.0,1.0,4.0,4.0,4.0,0.0,3.0,4.0,0.0,4.0,3.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,1
754,5,56,14,6,11,2,3,2,0,0,3,3,4,1,1,3,3,4,2,4,4.0,3.0,1.0,1.0,4.0,4.0,0.0,2.0,2.0,4.0,4.0,0.0,3.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,4.0,1.0,0
755,5,56,14,5,10,2,1,3,4,2,2,3,3,4,4,4,1,3,3,0,2.0,4.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,2.0,4.0,4.0,1.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,0
756,5,28,14,2,5,3,2,1,0,2,4,4,0,2,3,1,2,1,2,3,3.0,2.0,0.0,3.0,0.0,0.0,1.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,1.0,4.0,0.0,0.0,2.0,4.0,0.0,3.0,4.0,3.0,4.0,0.0,1
757,5,42,14,3,7,2,3,4,4,0,4,3,4,1,4,4,3,2,4,1,4.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,4.0,3.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,3.0,0
758,5,42,14,3,8,3,1,3,2,0,1,0,0,3,4,0,1,3,1,2,2.0,4.0,3.0,1.0,2.0,1.0,0.0,4.0,0.0,1.0,2.0,4.0,2.0,3.0,3.0,0.0,4.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,3.0,4.0,0
759,5,28,14,3,6,3,3,3,4,3,2,2,4,0,0,1,4,4,1,3,4.0,4.0,0.0,4.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,0.0,2.0,3.0,1.0,0.0,3.0,0.0,0
760,5,28,14,2,8,3,1,4,4,4,3,0,1,2,2,3,2,4,1,1,2.0,0.0,0.0,0.0,4.0,1.0,2.0,3.0,3.0,4.0,3.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,0.0,4.0,0.0,3.0,3.0,1
761,5,28,14,2,7,4,1,2,2,0,3,0,3,3,2,4,1,4,4,0,2.0,3.0,3.0,1.0,4.0,0.0,4.0,4.0,3.0,0.0,2.0,0.0,0.0,1.0,3.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0,2.0,0
762,5,28,14,3,5,3,1,1,1,2,0,4,3,3,0,3,1,1,1,0,2.0,2.0,2.0,3.0,1.0,0.0,4.0,4.0,1.0,4.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0,3.0,2.0,1
763,5,28,14,2,7,3,3,2,2,4,2,3,2,2,4,0,1,1,3,1,4.0,3.0,3.0,0.0,3.0,4.0,3.0,3.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,3.0,3.0,0.0,3.0,1
764,5,56,14,6,11,2,3,2,4,3,4,1,2,3,0,2,4,2,1,2,4.0,3.0,0.0,4.0,0.0,2.0,3.0,4.0,1.0,3.0,0.0,3.0,2.0,3.0,0.0,4.0,1.0,0.0,1.0,3.0,4.0,0.0,2.0,4.0,1.0,4.0,3.0,4.0,0
765,5,56,14,5,11,2,1,3,4,4,3,0,4,1,3,0,4,1,1,0,2.0,4.0,0.0,0.0,4.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,3.0,3.0,2.0,1
766,5,28,14,2,7,3,3,2,1,0,2,3,2,3,4,3,0,1,3,4,4.0,3.0,2.0,1.0,3.0,4.0,3.0,4.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,4.0,3.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1
767,5,28,14,2,6,3,3,0,0,2,2,3,4,0,3,3,4,2,3,0,4.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,4.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1
768,5,42,14,4,9,3,0,3,3,4,1,0,3,1,1,1,0,1,4,4,1.0,4.0,4.0,0.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,1
769,5,56,14,5,11,2,1,1,3,2,2,4,0,1,3,1,3,0,1,3,2.0,2.0,4.0,3.0,3.0,0.0,1.0,2.0,4.0,2.0,4.0,1.0,2.0,4.0,3.0,3.0,0.0,4.0,4.0,1.0,2.0,3.0,0.0,3.0,0.0,2.0,3.0,0.0,0
770,5,56,14,6,9,2,4,0,0,3,0,4,3,2,2,2,3,2,2,4,0.0,0.0,0.0,4.0,0.0,0.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,1
771,5,42,14,4,9,3,1,4,0,0,0,1,1,3,3,4,3,4,1,4,2.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,0.0,4.0,0.0,2.0,0.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1
772,5,56,14,6,10,2,3,3,0,4,4,0,1,4,0,1,2,1,2,4,4.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,3.0,4.0,1.0,0
773,5,42,14,4,9,2,4,1,0,2,1,1,2,1,2,3,0,1,3,2,0.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,1.0,2.0,4.0,3.0,0.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,0.0,2.0,3.0,0.0,4.0,1
774,5,28,14,2,7,4,2,0,0,1,0,2,4,0,1,3,1,2,1,2,3.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,2.0,4.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0,0.0,3.0,4.0,3.0,4.0,1
775,5,56,14,5,10,2,0,3,0,1,1,2,0,2,0,0,2,4,3,4,1.0,4.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0,0.0,4.0,0.0,2.0,0.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,4.0,1.0,0.0,1.0,0
776,5,56,14,6,10,2,2,1,3,3,3,4,0,0,1,4,0,3,2,2,3.0,2.0,4.0,4.0,4.0,0.0,1.0,1.0,2.0,0.0,1.0,4.0,3.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,4.0,4.0,0
777,5,42,14,4,8,2,2,3,3,4,4,2,0,4,2,1,4,1,4,0,3.0,4.0,4.0,0.0,0.0,3.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,4.0,3.0,1.0,3.0,1.0,2.0,0
778,5,42,14,4,8,3,3,1,0,1,1,4,0,2,2,1,3,4,4,3,4.0,2.0,1.0,2.0,2.0,0.0,1.0,3.0,3.0,2.0,4.0,0.0,0.0,4.0,0.0,3.0,2.0,3.0,3.0,0.0,2.0,4.0,4.0,3.0,0.0,1.0,1.0,0.0,0
