,kappa,# Edges,# Nodes,Min Degree,Max Degree,Diameter,S_0_1,S_1_1,S_2_1,S_3_1,S_4_1,S_5_1,S_6_1,S_7_1,S_8_1,S_9_1,S_10_1,S_11_1,S_12_1,S_13_1,S_0_2,S_1_2,S_2_2,S_3_2,S_4_2,S_5_2,S_6_2,S_7_2,S_8_2,S_9_2,S_10_2,S_11_2,S_12_2,S_13_2,S_0_3,S_1_3,S_2_3,S_3_3,S_4_3,S_5_3,S_6_3,S_7_3,S_8_3,S_9_3,S_10_3,S_11_3,S_12_3,S_13_3,label
100,5,28,14,2,6,3,3,0,2,3,2,3,3,1,4,1,2,1,3,2,4.0,1.0,3.0,4.0,3.0,4.0,4.0,2.0,0.0,2.0,3.0,2.0,4.0,3.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0,3.0,0.0,3.0,4.0,3.0,0.0,4.0,1
101,5,56,14,6,11,2,4,0,2,3,2,0,3,0,1,4,1,4,0,1,0.0,0.0,3.0,4.0,3.0,1.0,4.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,4.0,0.0,4.0,2.0,0.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,1
102,5,28,14,2,6,3,4,3,2,0,3,4,1,0,2,4,4,1,3,2,0.0,4.0,3.0,1.0,4.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,4.0,3.0,1.0,0.0,4.0,2.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,3.0,0.0,4.0,0
103,5,42,14,4,9,3,0,2,0,3,0,0,4,1,3,2,2,2,2,0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,2.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,4.0,4.0,4.0,4.0,1.0,1
104,5,42,14,3,9,3,2,0,1,4,3,1,0,0,3,4,3,3,1,4,3.0,1.0,2.0,0.0,4.0,2.0,0.0,1.0,4.0,0.0,4.0,4.0,2.0,0.0,4.0,2.0,3.0,1.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0
105,5,42,14,5,8,2,2,1,3,3,1,3,3,3,0,0,4,0,1,4,3.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0
106,5,42,14,4,8,2,0,3,4,0,2,2,3,4,4,3,4,0,4,0,0.0,4.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
107,5,42,14,3,8,3,1,2,0,1,1,2,0,4,0,3,3,1,3,0,2.0,3.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,4.0,4.0,2.0,4.0,1.0,3.0,4.0,1.0,3.0,3.0,4.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,2.0,0
108,5,56,14,6,11,2,0,3,2,0,3,4,4,1,2,0,3,3,1,1,1.0,4.0,3.0,1.0,4.0,0.0,0.0,2.0,3.0,1.0,4.0,4.0,2.0,2.0,2.0,0.0,4.0,2.0,0.0,1.0,1.0,3.0,4.0,2.0,0.0,0.0,3.0,3.0,0
109,5,28,14,2,5,3,0,0,0,2,0,0,1,4,2,0,3,3,2,4,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,1
110,5,42,14,5,8,3,0,4,4,0,4,1,2,0,0,3,2,3,2,4,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,1
111,5,56,14,6,10,2,0,1,3,0,4,2,3,0,4,3,3,2,3,0,0.0,2.0,4.0,1.0,0.0,3.0,4.0,1.0,0.0,4.0,4.0,3.0,4.0,1.0,1.0,3.0,0.0,2.0,1.0,4.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,2.0,0
112,5,56,14,6,10,2,1,1,0,2,1,3,2,3,1,1,4,0,3,2,2.0,2.0,1.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,0.0,1.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,0.0,4.0,0.0,3.0,3.0,1.0,2.0,0.0,4.0,1
113,5,28,14,2,6,3,0,2,1,2,4,0,3,2,3,0,2,2,2,2,1.0,3.0,2.0,3.0,0.0,1.0,4.0,3.0,4.0,0.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,0.0,2.0,0.0,4.0,0.0,1.0,4.0,4.0,4.0,4.0,0
114,5,56,14,6,11,2,1,1,4,2,1,3,0,1,1,4,4,0,2,2,2.0,2.0,0.0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,0.0,2.0,3.0,3.0,1.0,1.0,2.0,4.0,4.0,0
115,5,42,14,3,8,3,1,0,3,0,4,4,2,2,0,0,2,2,2,3,2.0,0.0,4.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,0.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,0.0,0
116,5,42,14,4,8,3,2,1,0,4,3,3,4,0,1,3,2,2,1,0,3.0,2.0,0.0,0.0,4.0,4.0,0.0,1.0,2.0,4.0,3.0,3.0,2.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,4.0,4.0,3.0,2.0,0
117,5,56,14,6,10,2,2,4,3,1,2,2,2,3,2,3,4,3,2,1,3.0,0.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,0.0,4.0,3.0,2.0,4.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,3.0,1
118,5,42,14,3,9,3,2,0,4,0,1,4,0,2,2,1,3,2,2,0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,4.0,1.0,0.0,2.0,3.0,0.0,0.0,4.0,4.0,3.0,0.0,4.0,4.0,2.0,0
119,5,56,14,7,10,2,3,4,3,4,4,3,2,3,3,2,2,2,0,2,4.0,0.0,4.0,0.0,0.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,1
120,5,42,14,4,8,3,4,3,1,3,0,1,2,4,3,2,2,0,1,0,0.0,4.0,2.0,4.0,1.0,2.0,3.0,0.0,4.0,3.0,3.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,2.0,3.0,4.0,1.0,0.0,4.0,4.0,2.0,3.0,1.0,0
121,5,56,14,5,10,2,2,0,4,1,3,0,3,0,1,4,0,2,1,0,3.0,1.0,0.0,2.0,4.0,1.0,4.0,1.0,2.0,0.0,1.0,3.0,2.0,1.0,4.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,3.0,1.0,2.0,4.0,3.0,2.0,0
122,5,28,14,2,6,3,1,0,0,4,3,4,4,3,3,2,1,4,4,2,2.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,3.0,2.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,4.0,0
123,5,28,14,3,6,3,4,4,3,4,2,0,1,2,3,0,0,1,4,2,0.0,0.0,4.0,0.0,3.0,0.0,2.0,3.0,4.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,4.0,0.0,2.0,0.0,3.0,0.0,4.0,0
124,5,56,14,5,11,2,4,1,0,3,2,1,2,3,2,1,1,4,1,4,0.0,2.0,1.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,4.0,3.0,4.0,0.0,4.0,3.0,3.0,1.0,3.0,0.0,0
125,5,56,14,6,11,2,0,2,1,1,2,2,4,2,2,1,0,0,4,2,1.0,3.0,2.0,2.0,3.0,3.0,0.0,3.0,3.0,2.0,1.0,1.0,0.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,1.0,4.0,4.0,3.0,2.0,2.0,1.0,4.0,1
126,5,42,14,4,8,3,1,3,3,4,4,0,0,1,3,3,3,1,2,0,2.0,4.0,4.0,0.0,0.0,1.0,1.0,2.0,4.0,4.0,4.0,2.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,4.0,2.0,0
127,5,28,14,2,7,4,4,1,4,0,3,1,1,3,2,3,2,1,2,2,0.0,2.0,0.0,1.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,1.0,3.0,0.0,2.0,0.0,3.0,3.0,0.0,4.0,0.0,4.0,3.0,4.0,4.0,0
128,5,28,14,2,8,3,4,3,0,3,4,3,1,3,4,1,4,3,3,0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,4.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1
129,5,42,14,4,9,2,3,0,3,3,0,2,1,1,1,0,2,1,0,3,4.0,1.0,4.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,4.0,0.0,2.0,0.0,0.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,0.0,1
130,5,28,14,2,7,3,0,3,4,4,2,1,3,1,1,4,2,1,0,1,1.0,4.0,0.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,4.0,3.0,0.0,3.0,3.0,1.0,4.0,3.0,2.0,3.0,0
131,5,42,14,4,8,2,1,1,4,2,1,1,1,3,0,4,0,1,0,1,2.0,2.0,0.0,3.0,2.0,2.0,2.0,4.0,1.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0,0.0,4.0,3.0,3.0,3.0,0.0,2.0,1.0,2.0,3.0,2.0,3.0,0
132,5,42,14,4,8,3,0,2,1,0,4,0,4,0,2,0,0,4,2,3,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,4.0,2.0,4.0,3.0,1.0,0.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0,0.0,0
133,5,56,14,5,10,2,3,1,0,4,0,3,2,0,4,3,3,4,0,1,4.0,2.0,0.0,0.0,1.0,4.0,3.0,1.0,0.0,4.0,4.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0,1
134,5,42,14,4,8,3,2,4,2,0,4,2,2,0,1,3,4,1,2,4,3.0,0.0,3.0,1.0,0.0,3.0,3.0,0.0,2.0,4.0,0.0,2.0,3.0,0.0,4.0,0.0,4.0,2.0,0.0,4.0,4.0,1.0,3.0,0.0,1.0,3.0,4.0,1.0,0
135,5,28,14,3,7,4,0,4,2,0,0,3,2,4,3,0,3,1,2,1,0.0,0.0,3.0,0.0,1.0,4.0,3.0,0.0,4.0,1.0,4.0,2.0,3.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,4.0,3.0,1
136,5,56,14,6,9,2,0,3,2,1,1,1,2,1,4,0,3,3,2,1,1.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,0.0,1.0,4.0,4.0,3.0,2.0,2.0,0.0,4.0,3.0,3.0,3.0,4.0,3.0,1.0,2.0,0.0,0.0,4.0,3.0,0
