,kappa,# Edges,# Nodes,Min Degree,Max Degree,Diameter,Concentrated
5955,2.1645307297890106,3339,91,65,81,2,0
5956,2.052843013890261,1398,74,27,49,2,0
5957,0.8876055603372013,2247,74,51,69,2,0
5958,0.7546292099945209,473,60,9,27,3,0
5959,3.538224003983777,1327,58,40,53,2,1
5960,1.1919883621304037,2121,94,34,57,2,0
5961,3.3282959597244632,1895,92,30,55,2,1
5962,3.484161045883158,306,73,3,18,4,1
5963,1.6557646214065267,849,59,19,39,2,0
5964,1.1708152104524894,1225,63,30,48,2,0
5965,2.596030091247378,1484,95,21,42,2,0
5966,2.928924294483392,1052,50,37,47,2,0
5967,2.7435061930294107,91,49,1,8,6,0
5968,4.416587609561516,824,75,15,32,3,1
5969,1.3415107971745455,1647,58,55,57,2,0
5970,4.364421398970887,605,59,10,30,3,1
5971,2.652608078177788,2251,75,52,66,2,0
5972,1.0641994921243327,317,65,3,18,4,0
5973,1.9032286812900878,274,62,2,15,4,0
5974,4.0788929044324895,587,90,5,20,3,1
5975,0.5186187220618907,804,82,12,28,3,0
5976,3.2022488163746923,1366,58,39,53,2,0
5977,2.4966956380602294,1457,85,22,46,2,0
5978,1.614216450553097,1724,83,31,51,2,0
5979,2.1756299562212287,1568,62,43,55,2,0
5980,3.3994052183402537,1675,78,31,55,2,0
5981,2.218927064333523,348,43,10,22,2,0
5982,4.110915046641659,679,39,30,38,2,1
5983,0.7332250136695637,547,36,26,34,2,0
5984,2.3421966650050825,345,29,21,27,2,0
5985,3.3374797210436573,163,31,6,15,3,1
5986,3.6841692635037657,1132,56,33,48,2,1
5987,3.1082524052473492,368,36,15,28,2,0
5988,2.3600553377653943,3445,92,67,84,2,0
5989,1.878499137626311,1203,78,20,41,2,0
5990,3.8340697660402037,276,29,14,23,2,1
5991,1.2680772215648348,184,51,2,13,4,0
5992,0.9345903603993504,2254,93,36,62,2,0
5993,2.9443909307308105,732,42,31,39,2,0
5994,4.248702682852505,646,53,16,31,2,1
5995,2.917336956553904,1166,50,44,49,2,1
5996,1.8568989744047655,127,26,6,14,3,0
5997,3.3327566722017186,1939,71,45,62,2,1
5998,0.5788730728948828,1052,90,13,31,3,0
5999,3.9749261660553397,1631,72,36,53,2,1
6000,2.7172240796545433,116,54,1,11,6,0
6001,2.278964076303516,860,85,11,37,3,0
6002,1.2772527330888401,649,95,6,24,3,0
6003,4.392924950747572,1237,71,24,45,2,1
6004,4.03977523667698,2406,81,47,71,2,1
6005,0.9943984766320395,3300,91,66,80,2,0
6006,1.784118038440845,445,91,3,19,4,0
6007,4.200436255804105,1498,82,28,45,2,1
6008,3.123308791072122,3669,100,62,83,2,0
6009,0.5271887438375553,621,39,27,36,2,0
6010,2.5755447618974463,1661,92,27,48,2,0
6011,2.481141450471751,653,78,10,25,3,0
6012,2.1610366597903017,559,97,4,18,4,0
6013,2.3482531072703985,1026,50,36,46,2,0
6014,1.5218046659234656,224,97,1,11,7,0
6015,4.102304944185667,2914,85,59,78,2,0
6016,3.3708442400972447,1396,65,32,53,2,0
6017,2.7245160626828464,2351,97,34,60,2,0
6018,3.4215235753084823,537,40,22,33,2,1
6019,3.8518477144847045,703,72,12,28,3,0
6020,1.8403278747600673,630,36,35,35,1,0
6021,2.1023674571181163,102,29,3,14,3,0
6022,1.9085427747290384,3350,100,56,83,2,0
6023,3.487632944697202,1721,84,33,49,2,0
6024,3.4675926597723157,973,45,41,44,2,1
6025,2.733402271953725,448,41,15,28,2,0
6026,2.098535128416342,448,94,2,16,4,0
6027,3.7118907011857623,471,38,19,29,2,0
6028,1.8076099063816757,1359,57,42,53,2,0
6029,2.5560384919310737,255,77,2,13,5,0
6030,4.33152389499589,525,70,7,21,3,1
6031,0.6810515619720241,447,98,3,18,4,0
